metric,group_var,group_level,estimate,se,ci_lower95,ci_upper95,n_unweighted_nonmissing
ebac_legal_prevalence,Overall,All,0.6499160836406934,0.0038522864303004874,0.6423657409791721,0.6574664263022147,22329
ebac_tot_mean,Overall,All,0.14314183915066206,8.112474667672677e-4,0.14155182333324887,0.14473185496807525,22329
ebac_legal_prevalence,cannabis_any_use,0,0.5033442888305734,0.005889111822157801,0.491801841758215,0.5148867359029317,10045
ebac_legal_prevalence,cannabis_any_use,1,0.7725369808230392,0.004705369408142456,0.7633146262491235,0.781759335396955,12102
ebac_legal_prevalence,gender,Female,0.6881331153293202,0.004668896762117239,0.6789822458280348,0.6972839848306056,13800
ebac_legal_prevalence,gender,Male,0.6102992013706946,0.006472830920740792,0.5976126858880254,0.6229857168533638,7770
ebac_legal_prevalence,gender,Non-binary,0.5638208926905046,0.02303282950587657,0.518677376396935,0.6089644089840742,658
ebac_legal_prevalence,age_group,16-19,0.7129897648769083,0.007885375913442745,0.6975347120820009,0.7284448176718158,4841
ebac_legal_prevalence,age_group,20-22,0.696656412235569,0.0061419534180160475,0.6846184047415348,0.7086944197296031,8101
ebac_legal_prevalence,age_group,23-25,0.6385194906835843,0.008912963615509664,0.6210504030016695,0.6559885783654991,4264
ebac_legal_prevalence,age_group,26+,0.5244619839052199,0.008338748458496883,0.5081183372504271,0.5408056305600127,5123
ebac_legal_prevalence,province_region,Atlantic,0.7361138179233133,0.006035040702912881,0.7242853555003708,0.7479422803462559,5853
ebac_legal_prevalence,province_region,Quebec,0.6395086753579283,0.006618901246698646,0.6265358672971717,0.652481483418685,6222
ebac_legal_prevalence,province_region,Ontario,0.6699251399320684,0.0063405495026217975,0.6574978912647363,0.6823523885994004,6213
ebac_legal_prevalence,province_region,Western,0.6083950174895816,0.00853599246364179,0.5916647796885384,0.6251252552906248,4041
ebac_legal_prevalence,mental_health,Excellent,0.533659973451698,0.017667813480634703,0.49903169534408276,0.5682882515593133,1117
ebac_legal_prevalence,mental_health,Very Good,0.6120120780773106,0.00912993076695921,0.5941177425927264,0.6299064135618948,4023
ebac_legal_prevalence,mental_health,Good,0.6389272131182971,0.0066697266221518985,0.6258547891521514,0.6519996370844429,7499
ebac_legal_prevalence,mental_health,Fair,0.6763102893997912,0.007082758856575327,0.6624283371297215,0.6901922416698609,6470
ebac_legal_prevalence,mental_health,Poor,0.723777613793035,0.009845425100031129,0.7044809351844873,0.7430742924015826,3105
ebac_legal_prevalence,physical_health,Excellent,0.6288671520950401,0.011430776759744634,0.6064632413306231,0.651271062859457,2682
ebac_legal_prevalence,physical_health,Very Good,0.6582874763890627,0.006427338533248431,0.6456901243474493,0.6708848284306761,7925
ebac_legal_prevalence,physical_health,Good,0.6554298434777289,0.006249511397385668,0.6431810262178804,0.6676786607375774,8407
ebac_legal_prevalence,physical_health,Fair,0.6337372143798269,0.010925503171811847,0.6123236216500976,0.6551508071095562,2774
ebac_legal_prevalence,physical_health,Poor,0.6294713636402268,0.025886340407293325,0.578735068750388,0.6802076585300656,495
ebac_legal_prevalence,sexual_orientation_dvdemq02,Heterosexual,0.6514033760616731,0.004450522751342488,0.6426805117566657,0.6601262403666804,16600
ebac_legal_prevalence,sexual_orientation_dvdemq02,Other,0.6598820252440555,0.008079439780298762,0.6440466142594097,0.6757174362287013,5099
ebac_legal_prevalence,ethnicity_dvdemq6,Black,0.4475044748650754,0.027666933268566698,0.3932782820960116,0.5017306676341391,447
ebac_legal_prevalence,ethnicity_dvdemq6,East/Southeast Asian,0.45408887772088036,0.01642449752265538,0.4218974541123085,0.4862803013294522,1224
ebac_legal_prevalence,ethnicity_dvdemq6,"Indigenous (First Nations, Metis, Inuk/Inuit descent)",0.7370389111754337,0.032154744350697644,0.6740167703159736,0.8000610520348939,265
ebac_legal_prevalence,ethnicity_dvdemq6,"Latino (Latin American, Hispanic descent)",0.5474593253498096,0.024251567141959734,0.49992712718291354,0.5949915235167056,557
ebac_legal_prevalence,ethnicity_dvdemq6,Middle Eastern,0.5287854233604428,0.02835576300128577,0.47320914912376927,0.5843616975971162,447
ebac_legal_prevalence,ethnicity_dvdemq6,South Asian,0.5532233258952144,0.022518530063653105,0.5090878179856718,0.597358833804757,667
ebac_legal_prevalence,ethnicity_dvdemq6,White,0.6859392380237285,0.004343757426246183,0.6774256299107075,0.6944528461367494,16820
ebac_legal_prevalence,ethnicity_dvdemq6,Other/Multiple,0.6398189173979961,0.014453705466862542,0.6114901752397959,0.6681476595561964,1558
ebac_tot_mean,cannabis_any_use,0,0.10937481689415007,0.001022071802408904,0.10737159297181469,0.11137804081648546,10045
ebac_tot_mean,cannabis_any_use,1,0.1714194210745157,0.001145219242449609,0.1691748326049122,0.17366400954411917,12102
ebac_tot_mean,gender,Female,0.14931781923579587,9.97829827803925e-4,0.14736210871060038,0.15127352976099137,13800
ebac_tot_mean,gender,Male,0.13728135020312743,0.0013623480823164373,0.13461119702738,0.13995150337887485,7770
ebac_tot_mean,gender,Non-binary,0.12364215401328793,0.004187614389140485,0.11543458062943088,0.13184972739714498,658
ebac_tot_mean,age_group,16-19,0.16095361116532642,0.0018412448259123731,0.15734483761981743,0.1645623847108354,4841
ebac_tot_mean,age_group,20-22,0.1569423527784295,0.0013920709937499326,0.15421394376675673,0.15967076179010226,8101
ebac_tot_mean,age_group,23-25,0.13768718333384422,0.0018218731631205935,0.1341163775497278,0.14125798911796064,4264
ebac_tot_mean,age_group,26+,0.10896228829135275,0.0013444129681448262,0.10632728729344029,0.11159728928926521,5123
ebac_tot_mean,province_region,Atlantic,0.1634440158810651,0.0014714902384979267,0.16055994801000692,0.1663280837521233,5853
ebac_tot_mean,province_region,Quebec,0.13721958729089162,0.0013372801173249245,0.13459856642369328,0.13984060815808996,6222
ebac_tot_mean,province_region,Ontario,0.14904504493053,0.0013946733251077542,0.1463115354431201,0.15177855441793991,6213
ebac_tot_mean,province_region,Western,0.13537158852761888,0.0017263372506953934,0.13198802969108603,0.13875514736415173,4041
ebac_tot_mean,mental_health,Excellent,0.12306078964628159,0.003590358874306113,0.11602381556106783,0.13009776373149534,1117
ebac_tot_mean,mental_health,Very Good,0.1339218395394773,0.0017982191625476511,0.13039739474457415,0.13744628433438047,4023
ebac_tot_mean,mental_health,Good,0.13770652191010038,0.0013282537067706242,0.13510319248249814,0.14030985133770263,7499
ebac_tot_mean,mental_health,Fair,0.14841316273388805,0.0015336689069027137,0.14540722691214983,0.15141909855562627,6470
ebac_tot_mean,mental_health,Poor,0.166124403950944,0.0024022815888116262,0.16141601855614954,0.17083278934573845,3105
