model,term,estimate,se,ci_lower95,ci_upper95,p_value,significant
ebac_tot_sensitivity_with_heavy_drinking,(Intercept),0.06723828721467186,0.001635062692058053,0.06403344475673586,0.07044312967260785,0,*
ebac_tot_sensitivity_with_heavy_drinking,cannabis_any_use,0.020251086703426534,0.0011485759315347773,0.01799979387568012,0.022502379531172952,4.2777745812406955e-69,*
ebac_tot_sensitivity_with_heavy_drinking,age_group.L,-0.017048691764054137,0.0011430293627877981,-0.019289112911404123,-0.014808270616704148,4.63284281190418e-50,*
ebac_tot_sensitivity_with_heavy_drinking,age_group.Q,-0.004617346085518199,0.0011163116594571085,-0.00680539858032132,-0.0024292935907150766,3.543513898704604e-5,*
ebac_tot_sensitivity_with_heavy_drinking,age_group.C,4.45072680565239e-4,0.001132744263901653,-0.0017751889207596972,0.0026653342818901767,0.694385810513507,
ebac_tot_sensitivity_with_heavy_drinking,genderMale,-0.015131049829214836,0.0011703247083454332,-0.01742497185012279,-0.012837127808306883,4.271624589464732e-38,*
ebac_tot_sensitivity_with_heavy_drinking,genderNon-binary,-0.012849326941151186,0.0030417207479961493,-0.018811322065688457,-0.006887331816613913,2.4059518007014973e-5,*
ebac_tot_sensitivity_with_heavy_drinking,province_regionQuebec,-0.00882080068462076,0.0014469164872612731,-0.01165686282094519,-0.0059847385482963275,1.103984550902814e-9,*
ebac_tot_sensitivity_with_heavy_drinking,province_regionOntario,-0.004978181321289076,0.0014393830919520653,-0.0077994774518471005,-0.00215688519073105,5.441275380179663e-4,*
ebac_tot_sensitivity_with_heavy_drinking,province_regionWestern,-0.006122698209875828,0.0016059087599798838,-0.009270396828744532,-0.002974999591007122,1.378884641153676e-4,*
ebac_tot_sensitivity_with_heavy_drinking,mental_health.L,0.00810883843218872,0.002322171321260437,0.0035572128088254404,0.012660464055552004,4.805123354218074e-4,*
ebac_tot_sensitivity_with_heavy_drinking,mental_health.Q,0.006346435988181476,0.0017730458797035199,0.0028711363909593238,0.00982173558540363,3.451371654842077e-4,*
ebac_tot_sensitivity_with_heavy_drinking,mental_health.C,0.001489884836560229,0.0014016783974396632,-0.0012575073351931607,0.00423727700831362,0.28782588893041516,
ebac_tot_sensitivity_with_heavy_drinking,mental_health^4,-3.6525759285508026e-4,0.0010575141401988277,-0.0024380626497125272,0.0017075474640023678,0.7298025576464032,
ebac_tot_sensitivity_with_heavy_drinking,physical_health.L,-0.006342481441378958,0.0027803652209232657,-0.011792200618426334,-8.927622643315801e-4,0.022548109526813704,*
ebac_tot_sensitivity_with_heavy_drinking,physical_health.Q,-1.846746942121847e-4,0.002282297682406302,-0.004658145069233708,0.004288795680809342,0.9355093977717581,
ebac_tot_sensitivity_with_heavy_drinking,physical_health.C,0.001521675346459227,0.001721027192534852,-0.0018516638194877196,0.004895014512406176,0.37661588199839413,
ebac_tot_sensitivity_with_heavy_drinking,physical_health^4,0.0011360405049537538,0.001191920728903345,-0.001200211295688416,0.003472292305595925,0.34054113975190525,
ebac_tot_sensitivity_with_heavy_drinking,heavy_drinking_30d,0.13942954054142007,0.0010672881213307378,0.13733757776671685,0.1415215033161233,0,*
