"module","total_duration_seconds","total_emissions_kg","total_energy_kwh","executions","run_count","failed_executions","mean_emissions_kg","median_emissions_kg","emissions_share_pct","emissions_rate_kg_per_hour","avg_duration_seconds","avg_energy_kwh","module_label","page_href"
"investigation_07_causal_estimators",787.04301,0.003818690428,0.010914871712,9,9,0,0.000424298936444444,7.155624e-06,40.47680818886,0.017467006715173,87.4492233333333,0.00121276352355556,"Causal","code/causal-estimators.html"
"investigation_07_treatment_effects",393.110544,0.001897921239,0.00553820255,9,9,0,0.000210880137666667,7.18249e-06,20.1173138794603,0.0173806491957133,43.6789493333333,0.000615355838888889,"Treatment","code/treatment-effects.html"
"investigation_07_propensity",393.253401,0.001755583026,0.005113397873,9,9,0,0.000195064780666667,4.328965e-06,18.6085776636881,0.0160713140115983,43.6948223333333,0.000568155319222222,"Propensity","code/propensity-scores.html"
"ebac_07_ebac_integrations",452.227288,0.000669941104,0.002022603454,9,9,0,7.44379004444444e-05,4.320235e-06,7.10114581836984,0.00533313233941778,50.2474764444445,0.000224733717111111,"Integrations","code/ebac-integrations.html"
"ebac_07_ebac_ipw",105.026139,0.00030324899,0.000957063128,9,9,0,3.36943322222222e-05,2.311126e-06,3.21433523694253,0.0103945205869179,11.669571,0.000106340347555556,"IPW","code/ebac-selection-adjustment-ipw.html"
"investigation_05_power_design",230.442504,0.00020596805,0.000798972192,9,9,0,2.28853388888889e-05,3.275313e-06,2.18319065398813,0.00321765719053287,25.6047226666667,8.8774688e-05,"Power","code/power-design.html"
"investigation_05_frequentist",108.912024,0.000116645016,0.000377304705,9,9,0,1.29605573333333e-05,4.50778e-07,1.23639714395265,0.00385560787668403,12.101336,4.1922745e-05,"Frequentist","code/frequentist-inference.html"
"ebac_07_ebac",118.860464,9.3319938e-05,0.000407956468,9,9,0,1.0368882e-05,2.627899e-06,0.989159320935222,0.00282643837567385,13.2067182222222,4.53284964444444e-05,"Core","code/ebac-core.html"
"investigation_03_data_wrangling",112.338631,7.5194505e-05,0.000277994093,9,9,0,8.354945e-06,5.83397e-07,0.797035950708198,0.0024096805844109,12.4820701111111,3.08882325555556e-05,"Wrangling","code/data-wrangling.html"
"investigation_06_model_comparison",57.452382,6.8942694e-05,0.000267905386,9,9,0,7.66029933333333e-06,1.045741e-06,0.730768899358728,0.00431998969859944,6.383598,2.97672651111111e-05,"Comparisons","code/model-comparison.html"
"ebac_07_ebac_gender_smote_sensitivity",73.790875,6.1542681e-05,0.000244184511,9,9,0,6.83807566666667e-06,1.247703e-06,0.652331300804047,0.00300245323828996,8.19898611111111,2.71316123333333e-05,"SMOTE","code/ebac-gender-smote-sensitivity.html"
"investigation_04_descriptive_stats",83.351915,5.4032754e-05,0.000290507012,9,9,0,6.00363933333333e-06,1.96034e-06,0.572728651565327,0.00233369460557685,9.26132388888889,3.22785568888889e-05,"Descriptives","code/descriptive-statistics.html"
"investigation_05_bayesian",71.591521,4.8590371e-05,0.000227692597,9,9,0,5.39893011111111e-06,1.336332e-06,0.515041259268202,0.00244338062883173,7.95461344444444,2.52991774444444e-05,"Bayesian","code/bayesian-inference.html"
"investigation_08_tables",65.351848,4.1949903e-05,0.000203170101,9,9,0,4.66110033333333e-06,1.301304e-06,0.44465457708275,0.00231087039497338,7.26131644444444,2.25744556666667e-05,"Tables","code/tables.html"
"investigation_06_logistic",54.950919,4.1473321e-05,0.000173277902,9,9,0,4.60814677777778e-06,9.0241e-07,0.43960297141741,0.00271704201343748,6.10565766666667,1.92531002222222e-05,"Logistic","code/logistic-models.html"
"investigation_06_regression",52.834365,4.0140508e-05,0.000161046582,9,9,0,4.46005644444444e-06,5.85879e-07,0.425475610959738,0.00273507268990552,5.870485,1.78940646666667e-05,"Regressions","code/regression-models.html"
"investigation_04_distributions",60.222083,3.7110637e-05,0.000174410308,9,9,0,4.12340411111111e-06,1.03987e-06,0.393360018031661,0.00221842697138191,6.69134255555556,1.93789231111111e-05,"Distributions","code/distribution-tests.html"
"investigation_08_figures",63.831414,3.6426718e-05,0.000157062483,9,9,0,4.04741311111111e-06,1.047442e-06,0.386110711312076,0.00205441453639113,7.09237933333333,1.7451387e-05,"Figures","code/figures.html"
"investigation_07_dag",50.039827,2.9000591e-05,0.000123578635,9,9,0,3.22228788888889e-06,5.11463e-07,0.307396313318169,0.00208638066634403,5.55998077777778,1.37309594444444e-05,"DAG","code/dag-specification.html"
"investigation_07_meta_synthesis",45.23305,2.3412594e-05,0.000108935456,9,9,0,2.60139933333333e-06,4.30321e-07,0.248165462587127,0.00186335739906993,5.02589444444444,1.21039395555556e-05,"Meta","code/meta-synthesis.html"
"investigation_09_report",31.595652,1.51326e-05,4.5388357e-05,9,9,0,1.6814e-06,3.9746e-08,0.160400367389703,0.00172420433039331,3.510628,5.04315077777778e-06,"Report","code/final-report.html"
