endpoint,outcome,outcome_type,scenario,allocation_strategy,target_power,alpha,total_n,group1,n1,group2,n2,n_sum_check,integer_n_check,status,compute_method,analysis_mode,power_scope
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.8,0.05,11822,Woman,5911,Man,5911,11822,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.85,0.05,13524,Woman,6762,Man,6762,13524,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.9,0.05,15826,Woman,7913,Man,7913,15826,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.95,0.05,19573,Woman,9787,Man,9786,19573,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.99,0.05,27673,Woman,13837,Man,13836,27673,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.999,0.05,38415,Woman,19208,Man,19207,38415,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.8,0.05,12603,Woman,7947,Man,4656,12603,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.85,0.05,14416,Woman,9091,Man,5325,14416,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.9,0.05,16871,Woman,10639,Man,6232,16871,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.95,0.05,20865,Woman,13157,Man,7708,20865,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.99,0.05,29499,Woman,18602,Man,10897,29499,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.999,0.05,40950,Woman,25823,Man,15127,40950,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,conservative_benchmark,equal_strata,0.8,0.05,1640,Woman,820,Man,820,1640,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,conservative_benchmark,equal_strata,0.85,0.05,1875,Woman,938,Man,937,1875,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,conservative_benchmark,equal_strata,0.9,0.05,2195,Woman,1098,Man,1097,2195,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,conservative_benchmark,equal_strata,0.95,0.05,2714,Woman,1357,Man,1357,2714,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,conservative_benchmark,equal_strata,0.99,0.05,3837,Woman,1919,Man,1918,3837,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,conservative_benchmark,equal_strata,0.999,0.05,5326,Woman,2663,Man,2663,5326,TRUE,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
