reference_gender,comparison_gender,delta_rd,se2_const,pair_required_n,z_eff,pair_power,endpoint,scenario,allocation_strategy,target_power,alpha,compute_method,analysis_mode,power_scope
Woman,Man,0.04668072929929423,3.2820826642082643,11822,2.801614344473784,0.800008154171964,heavy_drinking_30d,pilot_observed,equal_strata,0.8,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04668072929929423,3.2820826642082643,13524,2.996508099378298,0.850025815104358,heavy_drinking_30d,pilot_observed,equal_strata,0.85,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04668072929929423,3.2820826642082643,15826,3.2415181342867236,0.9000004535224017,heavy_drinking_30d,pilot_observed,equal_strata,0.9,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04668072929929423,3.2820826642082643,19573,3.6048863125627713,0.9500070851286431,heavy_drinking_30d,pilot_observed,equal_strata,0.95,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04668072929929423,3.2820826642082643,27673,4.286383222740036,0.9900019018498412,heavy_drinking_30d,pilot_observed,equal_strata,0.99,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04668072929929423,3.2820826642082643,38415,5.050254841087119,0.9990001971265668,heavy_drinking_30d,pilot_observed,equal_strata,0.999,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04668072929929423,3.4987463065291564,12603,2.801678994930284,0.8000262529018141,heavy_drinking_30d,pilot_observed,observed_strata,0.8,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04668072929929423,3.4987463065291564,14416,2.996427628219501,0.8500070539182798,heavy_drinking_30d,pilot_observed,observed_strata,0.85,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04668072929929423,3.4987463065291564,16871,3.2415432362781145,0.9000048587945706,heavy_drinking_30d,pilot_observed,observed_strata,0.9,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04668072929929423,3.4987463065291564,20865,3.604878240917326,0.9500062527428642,heavy_drinking_30d,pilot_observed,observed_strata,0.95,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04668072929929423,3.4987463065291564,29499,4.286324562218533,0.9900003385741538,heavy_drinking_30d,pilot_observed,observed_strata,0.99,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.04668072929929423,3.4987463065291564,40950,5.050197458604896,0.9990000039324074,heavy_drinking_30d,pilot_observed,observed_strata,0.999,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
Woman,Man,0.12573853469440754,3.301543120002166,1640,2.8024110199206715,0.8002311127112929,heavy_drinking_30d,conservative_benchmark,equal_strata,0.8,0.05,analytic_interaction_rd_fast,observational,a_priori_interaction
