endpoint,outcome,outcome_type,scenario,allocation_strategy,target_power,alpha,required_n,estimated_power,status,compute_method,analysis_mode,power_scope
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.8,0.05,11822,0.800008154171964,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.85,0.05,13524,0.850025815104358,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.9,0.05,15826,0.9000004535224017,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.95,0.05,19573,0.9500070851286431,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.99,0.05,27673,0.9900019018498412,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,equal_strata,0.999,0.05,38415,0.9990001971265668,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.8,0.05,12603,0.8000262529018141,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.85,0.05,14416,0.8500070539182798,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.9,0.05,16871,0.9000048587945706,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.95,0.05,20865,0.9500062527428642,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.99,0.05,29499,0.9900003385741538,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,pilot_observed,observed_strata,0.999,0.05,40950,0.9990000039324074,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
heavy_drinking_30d,heavy_drinking_30d,binary,conservative_benchmark,equal_strata,0.8,0.05,1640,0.8002311127112929,reached,analytic_interaction_rd_fast,observational,a_priori_interaction
