endpoint,scenario,target_power,required_n,gender,stratum_n,scheduled_stratum_n,top_up_n,block_sizes_allowed,analysis_mode,design_mode
heavy_drinking_30d,pilot_observed,0.8,11822,Female,5911,5910,1,"4,6,8",observational,prospective_trial_planning
heavy_drinking_30d,pilot_observed,0.8,11822,Male,5911,5910,1,"4,6,8",observational,prospective_trial_planning
heavy_drinking_30d,pilot_observed,0.85,13524,Female,6762,6762,0,"4,6,8",observational,prospective_trial_planning
heavy_drinking_30d,pilot_observed,0.85,13524,Male,6762,6762,0,"4,6,8",observational,prospective_trial_planning
heavy_drinking_30d,pilot_observed,0.9,15826,Female,7913,7912,1,"4,6,8",observational,prospective_trial_planning
heavy_drinking_30d,pilot_observed,0.9,15826,Male,7913,7912,1,"4,6,8",observational,prospective_trial_planning
heavy_drinking_30d,pilot_observed,0.95,19573,Female,9787,9786,1,"4,6,8",observational,prospective_trial_planning
heavy_drinking_30d,pilot_observed,0.95,19573,Male,9786,9786,0,"4,6,8",observational,prospective_trial_planning
heavy_drinking_30d,pilot_observed,0.99,27673,Female,13837,13836,1,"4,6,8",observational,prospective_trial_planning
heavy_drinking_30d,pilot_observed,0.99,27673,Male,13836,13836,0,"4,6,8",observational,prospective_trial_planning
heavy_drinking_30d,pilot_observed,0.999,38415,Female,19208,19208,0,"4,6,8",observational,prospective_trial_planning
heavy_drinking_30d,pilot_observed,0.999,38415,Male,19207,19206,1,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.8,12124,Female,6062,6062,0,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.8,12124,Male,6062,6062,0,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.85,13869,Female,6935,6934,1,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.85,13869,Male,6934,6934,0,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.9,16230,Female,8115,8114,1,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.9,16230,Male,8115,8114,1,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.95,20072,Female,10036,10036,0,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.95,20072,Male,10036,10036,0,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.99,28379,Female,14190,14190,0,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.99,28379,Male,14189,14188,1,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.999,39395,Female,19698,19698,0,"4,6,8",observational,prospective_trial_planning
ebac_legal,pilot_observed,0.999,39395,Male,19697,19696,1,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.8,242310,Female,121155,121154,1,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.8,242310,Male,121155,121154,1,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.85,277180,Female,138590,138590,0,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.85,277180,Male,138590,138590,0,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.9,324384,Female,162192,162192,0,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.9,324384,Male,162192,162192,0,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.95,401172,Female,200586,200586,0,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.95,401172,Male,200586,200586,0,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.99,567193,Female,283597,283596,1,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.99,567193,Male,283596,283596,0,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.999,787372,Female,393686,393686,0,"4,6,8",observational,prospective_trial_planning
ebac_tot,pilot_observed,0.999,787372,Male,393686,393686,0,"4,6,8",observational,prospective_trial_planning
